step,added,score,su_cf
1,terrain__landform,0.18267203820085276,0.18267203820085276
2,focal_stats__slope_std_r4,0.20609203995025765,0.16156822611016566
3,terrain__mrvbf,0.22084940881907789,0.143186635980048
4,texture__glcm_entropy_dem,0.23399823677943632,0.14747806178964912
5,terrain__openness_positive,0.2417130430973472,0.16571313669599994
6,focal_stats__dem_std_r10,0.2441125531798873,0.1627945038242949
7,terrain__curvedness,0.245691841018888,0.1429117070480292
8,texture__glcm_correlation_dem,0.24666302720199124,0.13966706554349712
9,terrain__geomorphons,0.24728314935133353,0.13908012326882796
10,terrain__mrrtf,0.24803475241448755,0.044891323042076034
11,climate__bio_12,0.24861687399581156,0.07987704961398329
