method,target,seed,episode,f1,auc,inner_steps,eps,K_meta,sweep
reptile,copiapo,42,0,0.8571428571428571,0.94,1,0.1,10,inner_steps
reptile,copiapo,42,1,0.9523809523809523,0.9800000000000001,1,0.1,10,inner_steps
reptile,copiapo,42,2,0.8,0.9199999999999999,1,0.1,10,inner_steps
reptile,copiapo,42,3,0.8421052631578947,0.9800000000000001,1,0.1,10,inner_steps
reptile,copiapo,42,4,0.8888888888888888,0.9899999999999999,1,0.1,10,inner_steps
reptile,copiapo,42,5,0.7619047619047619,0.85,1,0.1,10,inner_steps
reptile,copiapo,42,6,0.8235294117647058,0.98,1,0.1,10,inner_steps
reptile,copiapo,42,7,0.625,0.9,1,0.1,10,inner_steps
reptile,copiapo,42,8,0.9,0.9899999999999999,1,0.1,10,inner_steps
reptile,copiapo,42,9,0.8,0.9,1,0.1,10,inner_steps
reptile,copiapo,42,10,0.625,0.8400000000000001,1,0.1,10,inner_steps
reptile,copiapo,42,11,0.8421052631578947,0.9299999999999999,1,0.1,10,inner_steps
reptile,copiapo,42,12,0.75,0.96,1,0.1,10,inner_steps
reptile,copiapo,42,13,0.9523809523809523,0.99,1,0.1,10,inner_steps
reptile,copiapo,42,14,0.5333333333333333,0.83,1,0.1,10,inner_steps
reptile,copiapo,42,15,0.8888888888888888,1.0,1,0.1,10,inner_steps
reptile,copiapo,42,16,0.75,0.9800000000000001,1,0.1,10,inner_steps
reptile,copiapo,42,17,0.9473684210526315,0.97,1,0.1,10,inner_steps
reptile,copiapo,42,18,0.7058823529411765,0.9,1,0.1,10,inner_steps
reptile,copiapo,42,19,0.9473684210526315,0.98,1,0.1,10,inner_steps
reptile,copiapo,42,20,0.9523809523809523,0.9400000000000001,1,0.1,10,inner_steps
reptile,copiapo,42,21,0.8181818181818182,0.93,1,0.1,10,inner_steps
reptile,copiapo,42,22,0.9,0.98,1,0.1,10,inner_steps
reptile,copiapo,42,23,0.8235294117647058,0.99,1,0.1,10,inner_steps
reptile,copiapo,42,24,0.64,0.77,1,0.1,10,inner_steps
reptile,copiapo,42,25,0.8421052631578947,0.9,1,0.1,10,inner_steps
reptile,copiapo,42,26,0.8571428571428571,0.95,1,0.1,10,inner_steps
reptile,copiapo,42,27,0.75,0.9400000000000001,1,0.1,10,inner_steps
reptile,copiapo,42,28,0.8181818181818182,0.91,1,0.1,10,inner_steps
reptile,copiapo,42,29,0.9473684210526315,1.0,1,0.1,10,inner_steps
reptile,huasco,42,0,0.8888888888888888,1.0,1,0.1,10,inner_steps
reptile,huasco,42,1,0.631578947368421,0.8099999999999999,1,0.1,10,inner_steps
reptile,huasco,42,2,0.9090909090909091,0.905,1,0.1,10,inner_steps
reptile,huasco,42,3,0.9090909090909091,0.99,1,0.1,10,inner_steps
reptile,huasco,42,4,0.9,0.93,1,0.1,10,inner_steps
reptile,huasco,42,5,0.7619047619047619,0.85,1,0.1,10,inner_steps
reptile,huasco,42,6,0.9,0.99,1,0.1,10,inner_steps
reptile,huasco,42,7,0.8,0.88,1,0.1,10,inner_steps
reptile,huasco,42,8,0.8,0.8800000000000001,1,0.1,10,inner_steps
reptile,huasco,42,9,0.8888888888888888,0.95,1,0.1,10,inner_steps
reptile,huasco,42,10,0.8571428571428571,0.9699999999999999,1,0.1,10,inner_steps
reptile,huasco,42,11,0.8235294117647058,0.9599999999999999,1,0.1,10,inner_steps
reptile,huasco,42,12,0.9473684210526315,1.0,1,0.1,10,inner_steps
reptile,huasco,42,13,0.7058823529411765,0.8300000000000001,1,0.1,10,inner_steps
reptile,huasco,42,14,0.9523809523809523,0.9600000000000001,1,0.1,10,inner_steps
reptile,huasco,42,15,0.7777777777777778,0.9499999999999998,1,0.1,10,inner_steps
reptile,huasco,42,16,0.8,0.91,1,0.1,10,inner_steps
reptile,huasco,42,17,0.7619047619047619,0.79,1,0.1,10,inner_steps
reptile,huasco,42,18,0.8235294117647058,0.9499999999999998,1,0.1,10,inner_steps
