sweep,value,method,n_runs,f1_mean,f1_ci_lo,f1_ci_hi,auc_mean,auc_ci_lo,auc_ci_hi
K_meta,5.0,fomaml,360,0.7585328170346063,0.7447933193717068,0.7730976981718566,0.8375138888888889,0.8247222222222221,0.8515694444444445
K_meta,10.0,fomaml,360,0.7593542589807172,0.7466157411612286,0.7736354093777605,0.8369305555555554,0.8243333333333335,0.8509611111111111
K_meta,20.0,fomaml,360,0.7614010578463228,0.747659460016029,0.7763507580639855,0.8415555555555556,0.8287340277777779,0.8556805555555554
K_meta,5.0,reptile,360,0.7557792506075641,0.7425776183935234,0.7695983183157791,0.8340694444444444,0.8208440972222222,0.8482979166666667
K_meta,10.0,reptile,360,0.7575683019838413,0.7444019581383263,0.7714865943889664,0.8350972222222222,0.8215819444444444,0.8497409722222221
K_meta,20.0,reptile,360,0.7526775411737722,0.7400729506389429,0.7665730594023656,0.8415833333333335,0.828275,0.8555336805555556
eps,0.05,reptile,360,0.7560076001610622,0.7434353851488764,0.7704129621307546,0.8390972222222224,0.8257635416666667,0.8536249999999999
eps,0.1,reptile,360,0.7575683019838413,0.7444019581383263,0.7714865943889664,0.8350972222222222,0.8215819444444444,0.8497409722222221
eps,0.3,reptile,360,0.7515054734790548,0.7385499381949647,0.7651062364031015,0.8308194444444446,0.817165625,0.8440881944444444
inner_steps,1.0,fomaml,360,0.7592950063329713,0.7459531281413225,0.7731412277158242,0.8382361111111111,0.8252350694444444,0.8531527777777778
inner_steps,3.0,fomaml,360,0.7582527243030788,0.7455609440492961,0.7727729348206088,0.838375,0.825923611111111,0.8524736111111111
inner_steps,5.0,fomaml,360,0.7593542589807172,0.7466157411612286,0.7736354093777605,0.8369305555555554,0.8243333333333335,0.8509611111111111
inner_steps,10.0,fomaml,360,0.7591049187103276,0.7452116838215616,0.7732830526674168,0.8368750000000001,0.8240809027777776,0.8515284722222222
inner_steps,1.0,reptile,360,0.7614452405633737,0.7490171725411847,0.7750486151066945,0.8427777777777777,0.8286378472222222,0.8570597222222225
inner_steps,3.0,reptile,360,0.7618818547654865,0.7491484691330721,0.7756976511820628,0.8422361111111112,0.8285663194444445,0.8560701388888888
inner_steps,5.0,reptile,360,0.7575683019838413,0.7444019581383263,0.7714865943889664,0.8350972222222222,0.8215819444444444,0.8497409722222221
inner_steps,10.0,reptile,360,0.7490924265799603,0.7358346745956073,0.763307797306825,0.8314583333333334,0.8181802083333334,0.8458756944444443
