target,K,method,seed,episode,step,f1,auc
copiapo,5,independent,42,0,0,0.0,0.6100000000000001
copiapo,5,independent,42,0,1,0.3076923076923077,0.83
copiapo,5,independent,42,0,2,0.3076923076923077,0.83
copiapo,5,independent,42,0,3,0.4,0.84
copiapo,5,independent,42,0,5,0.5333333333333333,0.86
copiapo,5,independent,42,0,10,0.75,0.95
copiapo,5,independent,42,0,20,0.75,0.97
copiapo,5,independent,42,0,50,0.75,0.9700000000000001
copiapo,5,independent,42,0,100,0.75,0.9700000000000001
copiapo,5,independent,42,0,200,0.75,0.9700000000000001
copiapo,5,independent,42,1,0,0.0,0.15
copiapo,5,independent,42,1,1,0.0,0.51
copiapo,5,independent,42,1,2,0.0,0.52
copiapo,5,independent,42,1,3,0.0,0.6
copiapo,5,independent,42,1,5,0.18181818181818182,0.64
copiapo,5,independent,42,1,10,0.6666666666666666,0.67
copiapo,5,independent,42,1,20,0.5714285714285714,0.79
copiapo,5,independent,42,1,50,0.5714285714285714,0.7899999999999999
copiapo,5,independent,42,1,100,0.5714285714285714,0.8300000000000001
copiapo,5,independent,42,1,200,0.5714285714285714,0.8400000000000001
copiapo,5,independent,42,2,0,0.6428571428571429,0.71
copiapo,5,independent,42,2,1,0.782608695652174,0.8
copiapo,5,independent,42,2,2,0.782608695652174,0.75
copiapo,5,independent,42,2,3,0.782608695652174,0.76
copiapo,5,independent,42,2,5,0.8333333333333334,0.77
copiapo,5,independent,42,2,10,0.8333333333333334,0.76
copiapo,5,independent,42,2,20,0.8333333333333334,0.8
copiapo,5,independent,42,2,50,0.8333333333333334,0.8
copiapo,5,independent,42,2,100,0.8333333333333334,0.795
copiapo,5,independent,42,2,200,0.8333333333333334,0.795
copiapo,5,independent,42,3,0,0.0,0.5700000000000001
copiapo,5,independent,42,3,1,0.2857142857142857,0.76
copiapo,5,independent,42,3,2,0.5882352941176471,0.78
copiapo,5,independent,42,3,3,0.631578947368421,0.77
copiapo,5,independent,42,3,5,0.631578947368421,0.77
copiapo,5,independent,42,3,10,0.8,0.86
copiapo,5,independent,42,3,20,0.8,0.9199999999999999
copiapo,5,independent,42,3,50,0.8421052631578947,0.95
copiapo,5,independent,42,3,100,0.8421052631578947,0.95
copiapo,5,independent,42,3,200,0.8421052631578947,0.95
copiapo,5,independent,42,4,0,0.6428571428571429,0.67
copiapo,5,independent,42,4,1,0.6956521739130435,0.7
copiapo,5,independent,42,4,2,0.6363636363636364,0.72
copiapo,5,independent,42,4,3,0.5714285714285714,0.72
copiapo,5,independent,42,4,5,0.6956521739130435,0.73
copiapo,5,independent,42,4,10,0.6956521739130435,0.78
copiapo,5,independent,42,4,20,0.6956521739130435,0.8300000000000001
copiapo,5,independent,42,4,50,0.6956521739130435,0.8600000000000001
copiapo,5,independent,42,4,100,0.6956521739130435,0.8600000000000001
copiapo,5,independent,42,4,200,0.6956521739130435,0.8400000000000001
copiapo,5,independent,42,5,0,0.6666666666666666,0.5900000000000001
copiapo,5,independent,42,5,1,0.8,0.76
copiapo,5,independent,42,5,2,0.8695652173913043,0.8200000000000001
copiapo,5,independent,42,5,3,0.8181818181818182,0.87
copiapo,5,independent,42,5,5,0.8181818181818182,0.9
copiapo,5,independent,42,5,10,0.8181818181818182,0.8999999999999999
copiapo,5,independent,42,5,20,0.8181818181818182,0.88
copiapo,5,independent,42,5,50,0.8695652173913043,0.86
copiapo,5,independent,42,5,100,0.8695652173913043,0.86
copiapo,5,independent,42,5,200,0.8695652173913043,0.86
copiapo,5,independent,42,6,0,0.0,0.39
