target,K,method,step,f1_mean,f1_ci_lo,f1_ci_hi,auc_mean,auc_ci_lo,auc_ci_hi
copiapo,5,finetune,0,0.5671640272543266,0.5431053233521629,0.5909431022408964,0.7811111111111109,0.7663305555555555,0.7954444444444443
copiapo,5,finetune,1,0.6696095287539853,0.6434863065465575,0.6914603399960866,0.8263333333333334,0.8124416666666665,0.8380055555555559
copiapo,5,finetune,2,0.7325507092205841,0.710785001753978,0.7516569705318819,0.8434444444444444,0.8297777777777777,0.8557833333333333
copiapo,5,finetune,3,0.7476602628695329,0.7281300601319167,0.765742605642464,0.848111111111111,0.8322222222222223,0.8628999999999998
copiapo,5,finetune,5,0.7551360474758869,0.7367828507854982,0.7713128958605727,0.8471111111111113,0.8313222222222222,0.8637777777777778
copiapo,5,finetune,10,0.7738854665880063,0.7535905447885688,0.7924410701587341,0.8507222222222224,0.8341638888888889,0.8667819444444443
copiapo,5,finetune,20,0.7701115643246259,0.7503907108071222,0.788487595684284,0.8616666666666668,0.8458249999999999,0.8767791666666667
copiapo,5,finetune,50,0.7630309596120384,0.7416634985708718,0.7818841377755347,0.8644444444444442,0.848386111111111,0.8802791666666667
copiapo,5,finetune,100,0.7595245779008735,0.7368073745152759,0.7793645041210241,0.8638888888888889,0.8478875,0.8798916666666666
copiapo,5,finetune,200,0.7604917611590787,0.7383784317530167,0.7801734492255733,0.8650555555555555,0.8492180555555554,0.8803986111111111
copiapo,5,fomaml,0,0.7349341915610367,0.7208768669725477,0.7498966549521133,0.8240000000000001,0.8093194444444445,0.8378888888888889
copiapo,5,fomaml,1,0.8057423568016516,0.7874820866608359,0.8230595627116294,0.8738888888888888,0.8555555555555555,0.8903333333333333
copiapo,5,fomaml,2,0.8043265784683203,0.7852394744497528,0.8219122683659184,0.8983333333333334,0.8795499999999999,0.9157833333333334
copiapo,5,fomaml,3,0.8001080367011103,0.7796415100130887,0.8194413196168923,0.8974444444444444,0.8762222222222222,0.9144472222222222
copiapo,5,fomaml,5,0.789094179647701,0.7677109953644438,0.8094503601008429,0.8907777777777778,0.8704388888888889,0.9098944444444445
copiapo,5,fomaml,10,0.7916965663810163,0.7699027044672105,0.8127575515596243,0.8891111111111111,0.869775,0.9065555555555556
copiapo,5,fomaml,20,0.7965738337752666,0.7762832984518917,0.8162597489136818,0.8853333333333334,0.8666083333333333,0.9032819444444445
copiapo,5,fomaml,50,0.7910671162141003,0.7717534477515511,0.8102087714153332,0.8832777777777777,0.8637097222222224,0.9007222222222222
