source,target,precip_distance
chanaral,copiapo,15.581658363342285
chanaral,huasco,33.19474124908447
chanaral,elqui,70.76276111602783
chanaral,limari,136.40399646759033
taltal,copiapo,18.238389015197754
taltal,huasco,35.85147190093994
taltal,elqui,73.4194917678833
taltal,limari,139.0607271194458
maule,copiapo,868.7489585876465
maule,huasco,851.1358757019043
maule,elqui,813.5678558349609
maule,limari,747.9266204833984
choapa,copiapo,189.94363021850586
choapa,huasco,172.33054733276367
choapa,elqui,134.7625274658203
choapa,limari,69.12129211425781
tilviche,copiapo,27.38939967751503
tilviche,huasco,45.00248256325722
tilviche,elqui,82.57050243020058
tilviche,limari,148.21173778176308
caracoles,copiapo,27.408331364393234
caracoles,huasco,45.02141425013542
caracoles,elqui,82.58943411707878
caracoles,limari,148.23066946864128
maipo,copiapo,479.91015243530273
maipo,huasco,462.29706954956055
maipo,elqui,424.7290496826172
maipo,limari,359.0878143310547
rapel,copiapo,653.782527923584
rapel,huasco,636.1694450378418
rapel,elqui,598.6014251708984
rapel,limari,532.9601898193359
bueno_puelo,copiapo,1795.9652061462402
bueno_puelo,huasco,1778.352123260498
bueno_puelo,elqui,1740.7841033935547
bueno_puelo,limari,1675.1428680419922
magallanes,copiapo,538.4288291931152
magallanes,huasco,520.815746307373
magallanes,elqui,483.2477264404297
magallanes,limari,417.6064910888672
