target,K,method,seed,episode,f1,auc
copiapo,1,dann,42,0,0.5555555555555556,0.6699999999999999
copiapo,1,dann,42,1,0.75,0.9800000000000001
copiapo,1,dann,42,2,0.6666666666666666,0.78
copiapo,1,dann,42,3,0.8333333333333334,0.88
copiapo,1,dann,42,4,0.5555555555555556,0.76
copiapo,1,dann,42,5,0.8571428571428571,0.98
copiapo,1,dann,42,6,0.6666666666666666,0.64
copiapo,1,dann,42,7,0.8333333333333334,0.81
copiapo,1,dann,42,8,0.46153846153846156,0.88
copiapo,1,dann,42,9,0.625,0.7799999999999999
copiapo,1,dann,42,10,0.36363636363636365,0.38
copiapo,1,dann,42,11,0.5714285714285714,0.86
copiapo,1,dann,42,12,0.6666666666666666,0.8
copiapo,1,dann,42,13,0.18181818181818182,0.6599999999999999
copiapo,1,dann,42,14,0.631578947368421,0.78
copiapo,1,dann,42,15,0.631578947368421,0.8400000000000001
copiapo,1,dann,42,16,0.6666666666666666,0.76
copiapo,1,dann,42,17,0.5,0.69
copiapo,1,dann,42,18,0.75,0.9600000000000001
copiapo,1,dann,42,19,0.625,0.645
copiapo,1,dann,42,20,0.7619047619047619,0.8999999999999999
copiapo,1,dann,42,21,0.631578947368421,0.765
copiapo,1,dann,42,22,0.47058823529411764,0.7
copiapo,1,dann,42,23,0.6428571428571429,0.53
copiapo,1,dann,42,24,0.5555555555555556,0.72
copiapo,1,dann,42,25,0.18181818181818182,0.64
copiapo,1,dann,42,26,0.5555555555555556,0.755
copiapo,1,dann,42,27,0.6666666666666666,0.7000000000000001
copiapo,1,dann,42,28,0.5263157894736842,0.76
copiapo,1,dann,42,29,0.5333333333333333,0.67
copiapo,1,dann,42,30,0.625,0.8599999999999999
copiapo,1,dann,42,31,0.5714285714285714,0.65
copiapo,1,dann,42,32,0.6086956521739131,0.6849999999999999
copiapo,1,dann,42,33,0.6666666666666666,0.86
copiapo,1,dann,42,34,0.4,0.32
copiapo,1,dann,42,35,0.5555555555555556,0.61
copiapo,1,dann,42,36,0.7058823529411765,0.8400000000000001
copiapo,1,dann,42,37,0.64,0.74
copiapo,1,dann,42,38,0.6666666666666666,0.92
copiapo,1,dann,42,39,0.5555555555555556,0.74
copiapo,1,dann,42,40,0.6923076923076923,0.71
copiapo,1,dann,42,41,0.56,0.6300000000000001
copiapo,1,dann,42,42,0.7777777777777778,0.79
copiapo,1,dann,42,43,0.7,0.785
copiapo,1,dann,42,44,0.46153846153846156,0.89
copiapo,1,dann,42,45,0.5333333333333333,0.76
copiapo,1,dann,42,46,0.42857142857142855,0.76
copiapo,1,dann,42,47,0.6,0.65
copiapo,1,dann,42,48,0.8181818181818182,0.8400000000000001
copiapo,1,dann,42,49,0.5217391304347826,0.38
copiapo,5,dann,42,0,0.5333333333333333,0.81
copiapo,5,dann,42,1,0.7619047619047619,0.86
copiapo,5,dann,42,2,0.72,0.78
copiapo,5,dann,42,3,0.6666666666666666,0.8200000000000001
copiapo,5,dann,42,4,0.6666666666666666,0.58
copiapo,5,dann,42,5,0.8181818181818182,0.93
copiapo,5,dann,42,6,0.6666666666666666,0.8500000000000001
copiapo,5,dann,42,7,0.5263157894736842,0.72
copiapo,5,dann,42,8,0.9,0.8800000000000001
copiapo,5,dann,42,9,0.7368421052631579,0.8300000000000001
copiapo,5,dann,42,10,0.9473684210526315,0.91
copiapo,5,dann,42,11,0.8333333333333334,0.905
copiapo,5,dann,42,12,0.7368421052631579,0.79
copiapo,5,dann,42,13,0.9473684210526315,1.0
copiapo,5,dann,42,14,0.8,0.8999999999999999
copiapo,5,dann,42,15,0.8,0.8400000000000002
copiapo,5,dann,42,16,0.9090909090909091,0.9099999999999999
copiapo,5,dann,42,17,0.75,0.8999999999999999
copiapo,5,dann,42,18,0.5454545454545454,0.515
copiapo,5,dann,42,19,0.8181818181818182,0.885
copiapo,5,dann,42,20,0.8888888888888888,0.99
copiapo,5,dann,42,21,0.6956521739130435,0.785
copiapo,5,dann,42,22,0.8,0.86
copiapo,5,dann,42,23,0.8181818181818182,0.9
copiapo,5,dann,42,24,0.8888888888888888,0.9500000000000002
copiapo,5,dann,42,25,0.782608695652174,0.86
