target,K,method,n_runs,f1_mean,f1_ci_lo,f1_ci_hi,auc_mean,auc_ci_lo,auc_ci_hi
copiapo,1,dann,150,0.5929726247453118,0.5689555133102555,0.6175922572620175,0.7364,0.7132583333333333,0.7568358333333334
copiapo,5,dann,150,0.7322678840983727,0.71025703824163,0.754012383574134,0.8522000000000001,0.8376958333333333,0.8668366666666667
elqui,1,dann,150,0.6347909887340922,0.6073400068982839,0.6614485829636954,0.7556333333333334,0.7345991666666667,0.7760783333333333
elqui,5,dann,150,0.7003013418165435,0.67636530418302,0.7212828949939929,0.8266333333333333,0.8116991666666666,0.8428675000000001
elqui,10,dann,150,0.780374315602785,0.7642831773590024,0.7969707238459331,0.8718666666666665,0.857265,0.8869041666666665
elqui,20,dann,150,0.814419127012989,0.8007330830450664,0.8278470885201805,0.8933666666666666,0.8816958333333332,0.9037791666666668
huasco,1,dann,150,0.6569790379527435,0.629400505937006,0.6831296304104326,0.7850666666666666,0.7595625,0.8096691666666667
huasco,5,dann,150,0.8172171876963997,0.7986293857122896,0.8347212876991623,0.9193333333333333,0.9069633333333335,0.9316341666666667
huasco,10,dann,150,0.8488179686732654,0.83297647238009,0.8634351908472516,0.9341666666666667,0.9244658333333332,0.9430350000000003
huasco,20,dann,150,0.8923574655204755,0.8802441258666054,0.9047292116661749,0.9481666666666666,0.937728333333333,0.958
limari,1,dann,150,0.5285162377789863,0.49866611085606455,0.5567358556181059,0.6082333333333334,0.5858941666666666,0.6329141666666667
limari,5,dann,150,0.589365725333563,0.5656783649949525,0.6126648204595825,0.685,0.6666983333333333,0.7026708333333334
limari,10,dann,150,0.6673207280560715,0.6468990662406066,0.6851806457762036,0.7446,0.7254091666666667,0.7621025
limari,20,dann,150,0.6890020862562254,0.6722384076553211,0.7064655919933329,0.8034333333333332,0.7883333333333333,0.8168341666666667
