stratum,fold,seed,episode,n_test,f1,auc
0,0,42,0,28,0.0,0.564625850340136
0,0,42,1,28,0.2,0.7142857142857142
0,0,42,2,28,0.0,0.5102040816326531
0,0,42,3,28,0.3333333333333333,0.5306122448979591
0,0,42,4,28,0.2222222222222222,0.6326530612244898
0,0,42,5,28,0.3076923076923077,0.5102040816326531
0,0,42,6,28,0.2222222222222222,0.5850340136054422
0,0,42,7,28,0.2,0.6938775510204082
0,0,42,8,28,0.4,0.6122448979591837
0,0,42,9,28,0.0,0.6530612244897959
0,0,42,10,28,0.2222222222222222,0.7142857142857143
0,0,42,11,28,0.0,0.5374149659863946
0,0,42,12,28,0.25,0.6870748299319728
0,0,42,13,28,0.25,0.6394557823129252
0,0,42,14,28,0.2222222222222222,0.7551020408163265
0,0,42,15,28,0.0,0.5918367346938775
0,0,42,16,28,0.25,0.7346938775510203
0,0,42,17,28,0.0,0.8027210884353742
0,0,42,18,28,0.0,0.5850340136054422
0,0,42,19,28,0.0,0.7006802721088435
0,1,42,0,106,0.8700564971751412,0.8010531135531136
0,1,42,1,106,0.8690476190476191,0.8347069597069599
0,1,42,2,106,0.8679245283018868,0.8379120879120879
0,1,42,3,106,0.88,0.8509615384615384
0,1,42,4,106,0.7412587412587412,0.6602564102564104
0,1,42,5,106,0.8705882352941177,0.8280677655677656
0,1,42,6,106,0.8795180722891566,0.8695054945054945
0,1,42,7,106,0.8700564971751412,0.8807234432234432
0,1,42,8,106,0.8863636363636364,0.8383699633699634
0,1,42,9,106,0.891566265060241,0.7106227106227105
0,1,42,10,106,0.8271604938271605,0.7490842490842491
0,1,42,11,106,0.8994082840236687,0.8596611721611722
0,1,42,12,106,0.8588957055214724,0.8047161172161172
0,1,42,13,106,0.8466257668711656,0.777014652014652
0,1,42,14,106,0.896551724137931,0.7696886446886447
0,1,42,15,106,0.8888888888888888,0.8521062271062272
0,1,42,16,106,0.891566265060241,0.6996336996336996
0,1,42,17,106,0.9005847953216374,0.8003663003663004
0,1,42,18,106,0.8941176470588236,0.8768315018315018
0,1,42,19,106,0.9166666666666666,0.8388278388278388
0,2,42,0,72,0.7142857142857143,0.871692060946271
0,2,42,1,72,0.8157894736842105,0.9494787489975942
0,2,42,2,72,0.75,0.8829190056134723
0,2,42,3,72,0.5901639344262295,0.8291900561347233
0,2,42,4,72,0.8,0.9149959903769045
0,2,42,5,72,0.7397260273972602,0.8853247794707297
0,2,42,6,72,0.6031746031746031,0.8901363271852446
0,2,42,7,72,0.5423728813559322,0.8997594226142742
0,2,42,8,72,0.7123287671232876,0.781074578989575
0,2,42,9,72,0.6857142857142857,0.8372093023255813
0,2,42,10,72,0.59375,0.7914995990376905
0,2,42,11,72,0.7428571428571429,0.9069767441860467
0,2,42,12,72,0.37735849056603776,0.9294306335204492
0,2,42,13,72,0.7341772151898734,0.7754611066559743
0,2,42,14,72,0.5333333333333333,0.9190056134723337
0,2,42,15,72,0.5970149253731343,0.8837209302325582
0,2,42,16,72,0.5172413793103449,0.9222133119486768
0,2,42,17,72,0.625,0.9246190858059343
0,2,42,18,72,0.5846153846153846,0.7321571772253408
0,2,42,19,72,0.7435897435897436,0.7987169206094628
0,0,123,0,108,0.8914285714285715,0.8606837606837607
0,0,123,1,108,0.8700564971751412,0.6692307692307693
