target,K,method,n_runs,f1_mean,f1_ci_lo,f1_ci_hi,auc_mean,auc_ci_lo,auc_ci_hi
copiapo,1,cdan,300,0.5729888661390209,0.5422076627864166,0.6047875439418395,0.7454861111111111,0.7170215773809524,0.7740096726190475
copiapo,1,meta_baseline,300,0.4612606544928527,0.42961436867584313,0.4927213822197182,0.5909920634920635,0.5568769841269842,0.6256026785714287
copiapo,1,protonet,300,0.6899997689215955,0.6636519235966991,0.714225881442832,0.7464087301587301,0.7162614087301589,0.7770853174603176
copiapo,5,cdan,300,0.672749231561925,0.6459876880171772,0.6988008020115991,0.7931944444444444,0.7657740575396824,0.8198844246031746
copiapo,5,meta_baseline,300,0.49444484288214935,0.46670519353654033,0.5248671559040947,0.7204563492063492,0.6950823412698413,0.746032242063492
copiapo,5,protonet,300,0.7270907488910584,0.7015466415407204,0.7539074084154579,0.8795238095238096,0.8570749007936508,0.8993144841269841
copiapo,10,cdan,300,0.7159439071706873,0.6913795696985906,0.7402803247986104,0.8045436507936508,0.7801564980158731,0.8288420138888889
copiapo,10,meta_baseline,300,0.5311589448276754,0.5027781943775751,0.5609411904544257,0.7735515873015872,0.7502569444444446,0.796592757936508
copiapo,10,protonet,300,0.7743780137990665,0.7496837743396954,0.7993018441353968,0.9404166666666667,0.9281944444444445,0.9522256944444445
elqui,1,cdan,500,0.44049300496002136,0.4180963623426469,0.46372108955583563,0.7056997219715885,0.6885268800536744,0.7230771833751638
elqui,1,meta_baseline,500,0.39435572982110045,0.37342530122156564,0.41599991443383455,0.6078128327745885,0.5877861361055864,0.6284595532212873
elqui,1,protonet,500,0.43562940701129343,0.4093161042465425,0.46222597954718536,0.6758157471600439,0.6547308765898348,0.695950454972701
elqui,5,cdan,500,0.5183473996579893,0.4941021149960568,0.5422805243509009,0.7757583201535351,0.762271829441678,0.7892832969765351
elqui,5,meta_baseline,500,0.4790416505377174,0.4567739278451314,0.5011971824984225,0.6765631864081926,0.6596604323277494,0.6931012315594313
elqui,5,protonet,500,0.5257979451530537,0.5019823965232358,0.5500203460960664,0.7691427088501279,0.7545797194136046,0.7839693636191942
elqui,10,cdan,500,0.5429599186939397,0.5161731764111853,0.569158870033734,0.818979115398889,0.8092483637118832,0.8292787913227739
elqui,10,meta_baseline,500,0.49807030324138124,0.47715673521328517,0.5187642003279758,0.7121218553721764,0.6990989015092947,0.725896141370465
elqui,10,protonet,500,0.5278620184532333,0.5039392536152402,0.5514582698279338,0.8003050195204512,0.7882208707218944,0.8123880429736522
elqui,20,cdan,500,0.5400343032066494,0.512457280045317,0.5692276977835881,0.8294630002784877,0.8199889636263641,0.8393724462120915
elqui,20,meta_baseline,500,0.5113322239778301,0.4896329524758869,0.5328071631152743,0.7158560476793486,0.7026158835646245,0.7304236983326877
elqui,20,protonet,500,0.5203331003266307,0.4985659081524234,0.5435633946889633,0.8043596425735888,0.7917958529673474,0.8169279296864893
huasco,1,cdan,200,0.7066059202210779,0.6841532911181454,0.7278100704899276,0.762292495701302,0.7468927053679888,0.7781914013945112
huasco,1,meta_baseline,200,0.6807937608366811,0.6576105677640784,0.7009694725832081,0.6755636998078626,0.6547812958261408,0.6958390359643721
huasco,1,protonet,200,0.7737098738211313,0.7462467351545229,0.7961588201963458,0.7565703791939646,0.7341171663798063,0.7774061798832705
huasco,5,cdan,200,0.7682691660260599,0.7524115302348795,0.7832000354753835,0.8140388674655011,0.8015037011916899,0.8280814345243502
huasco,5,meta_baseline,200,0.7655082413243032,0.7576619910059855,0.7729628195550248,0.743488519699983,0.7289412301090574,0.759103944370977
huasco,5,protonet,200,0.8355722582003814,0.8278314737113621,0.8432763546847161,0.8285745020744792,0.8158115281240852,0.8425220720902609
huasco,10,cdan,200,0.8072090498362059,0.7972616303842277,0.8164659616070539,0.8509909542268568,0.8393254071355023,0.8631310879365576
huasco,10,meta_baseline,200,0.7716498744312815,0.767618569652207,0.7755099380398446,0.7561545314671432,0.7405511783774644,0.7715745303293761
huasco,10,protonet,200,0.8404862573742337,0.8338053151581463,0.8462214001820785,0.8394413736653845,0.8268176255455393,0.8531381919978599
