target,K,method,f1_mean,f1_std,auc_mean,auc_std
copiapo,1,independent,0.6285705437157181,0.14824226730131618,0.6925000000000001,0.168061248755724
copiapo,1,finetune,0.6436736002215879,0.11933415578543013,0.7666666666666668,0.1348167480528868
copiapo,1,reptile,0.7195299335678258,0.12113846011378658,0.8080000000000002,0.12960581262685197
copiapo,5,independent,0.7363037540814943,0.1436317437482978,0.8266666666666668,0.11833802807588477
copiapo,5,finetune,0.789939491608402,0.1090011014297196,0.8608333333333335,0.07426398110045604
copiapo,5,reptile,0.7815025152355212,0.12042667375250869,0.8905000000000002,0.09304434426659153
huasco,1,independent,0.618458301531057,0.22240453446561373,0.6690000000000002,0.2560644450133599
huasco,1,finetune,0.7041623327739898,0.19462001024012027,0.7753333333333333,0.21972305801217634
huasco,1,reptile,0.7572170490328384,0.14041391190198493,0.7976666666666666,0.1683188112547799
huasco,5,independent,0.8010096054516569,0.08094195514640637,0.8985,0.06123928477701221
huasco,5,finetune,0.7894986770482127,0.10659280600905806,0.8881666666666668,0.07239340823276352
huasco,5,reptile,0.8349687747877276,0.08939509291435783,0.9058333333333334,0.0911050980400597
huasco,10,independent,0.8692534591751624,0.09178861177716577,0.9403333333333331,0.059818243222467024
huasco,10,finetune,0.872529821835583,0.09257775093573746,0.9493333333333333,0.04373658524495126
huasco,10,reptile,0.8790753421309351,0.08254714078869183,0.9390000000000001,0.06378871373526826
elqui,1,independent,0.6502626941790356,0.15738941082800834,0.6856666666666668,0.1889741310926504
elqui,1,finetune,0.6320761665376462,0.14437221667296715,0.6869999999999999,0.15703821191035
elqui,1,reptile,0.6773386609203005,0.18704071335240244,0.798,0.13944293934557367
elqui,5,independent,0.7668891151449372,0.13432331593380312,0.8413333333333333,0.10154582982848462
elqui,5,finetune,0.7422573482514255,0.14433902536960672,0.8283333333333334,0.12882373832316604
elqui,5,reptile,0.7678169490804435,0.09106953111467886,0.8451666666666667,0.08424649679495416
elqui,10,independent,0.7934761504081737,0.09946241029361935,0.8591666666666666,0.08377632256325306
elqui,10,finetune,0.7889380023913607,0.11030117848803608,0.8823333333333333,0.07333409090517784
elqui,10,reptile,0.7863315127960434,0.12529091237102633,0.8810000000000001,0.09249684679310242
limari,1,independent,0.5292065916813528,0.12722832943544565,0.5559999999999999,0.14025215387532083
limari,1,finetune,0.5525177357951622,0.16003116120769148,0.6199999999999999,0.1366991831236261
limari,1,reptile,0.5526388519797458,0.14443874448813726,0.6586666666666667,0.14229039164875312
limari,5,independent,0.6376624045477862,0.14732089465717585,0.6891666666666667,0.11143072087873951
limari,5,finetune,0.658669273386261,0.13731170331998144,0.7643333333333332,0.11826335959299573
limari,5,reptile,0.708176029744046,0.11780671606823655,0.7283333333333333,0.12701924613572893
limari,10,independent,0.6781326705729721,0.09728092615071092,0.7371666666666667,0.11769794201920251
limari,10,finetune,0.701931911983063,0.11588194743610156,0.7643333333333333,0.11196527239381962
limari,10,reptile,0.6434851348254901,0.12550263173917464,0.7493333333333332,0.08823957288100517
