target,cv_type,fold,method,seed,episode,f1,auc
copiapo,spatial,0,independent,42,0,0.25,0.7142857142857143
copiapo,spatial,0,independent,42,1,0.4444444444444444,1.0
copiapo,spatial,0,independent,42,2,0.4444444444444444,0.7142857142857143
copiapo,spatial,0,independent,42,3,0.4444444444444444,1.0
copiapo,spatial,0,independent,42,4,0.4444444444444444,0.7142857142857143
copiapo,spatial,0,independent,42,5,0.4444444444444444,0.7142857142857143
copiapo,spatial,0,independent,42,6,0.4444444444444444,0.7142857142857143
copiapo,spatial,0,independent,42,7,0.4444444444444444,0.7142857142857143
copiapo,spatial,0,independent,42,8,0.4444444444444444,1.0
copiapo,spatial,0,independent,42,9,0.4444444444444444,0.7142857142857143
copiapo,spatial,0,finetune,42,0,0.4444444444444444,1.0
copiapo,spatial,0,finetune,42,1,0.25,1.0
copiapo,spatial,0,finetune,42,2,0.4444444444444444,1.0
copiapo,spatial,0,finetune,42,3,0.4444444444444444,1.0
copiapo,spatial,0,finetune,42,4,0.25,1.0
copiapo,spatial,0,finetune,42,5,0.25,1.0
copiapo,spatial,0,finetune,42,6,0.25,1.0
copiapo,spatial,0,finetune,42,7,0.25,1.0
copiapo,spatial,0,finetune,42,8,0.25,1.0
copiapo,spatial,0,finetune,42,9,0.25,1.0
copiapo,spatial,0,reptile,42,0,0.25,1.0
copiapo,spatial,0,reptile,42,1,0.4444444444444444,1.0
copiapo,spatial,0,reptile,42,2,0.4444444444444444,1.0
copiapo,spatial,0,reptile,42,3,0.4444444444444444,1.0
copiapo,spatial,0,reptile,42,4,0.4444444444444444,1.0
copiapo,spatial,0,reptile,42,5,0.4444444444444444,1.0
copiapo,spatial,0,reptile,42,6,0.25,1.0
copiapo,spatial,0,reptile,42,7,0.4444444444444444,1.0
copiapo,spatial,0,reptile,42,8,0.25,1.0
copiapo,spatial,0,reptile,42,9,0.4444444444444444,1.0
copiapo,spatial,0,fomaml,42,0,0.4444444444444444,1.0
copiapo,spatial,0,fomaml,42,1,0.4444444444444444,0.7142857142857143
copiapo,spatial,0,fomaml,42,2,0.4444444444444444,1.0
copiapo,spatial,0,fomaml,42,3,0.4444444444444444,1.0
copiapo,spatial,0,fomaml,42,4,0.4444444444444444,1.0
copiapo,spatial,0,fomaml,42,5,0.4444444444444444,1.0
copiapo,spatial,0,fomaml,42,6,0.4444444444444444,1.0
copiapo,spatial,0,fomaml,42,7,0.4444444444444444,1.0
copiapo,spatial,0,fomaml,42,8,0.4444444444444444,1.0
copiapo,spatial,0,fomaml,42,9,0.4444444444444444,1.0
copiapo,spatial,1,independent,42,0,0.0,
copiapo,spatial,1,independent,42,1,0.0,
copiapo,spatial,1,independent,42,2,0.0,
copiapo,spatial,1,independent,42,3,0.0,
copiapo,spatial,1,independent,42,4,0.0,
copiapo,spatial,1,independent,42,5,0.0,
copiapo,spatial,1,independent,42,6,0.0,
copiapo,spatial,1,independent,42,7,0.0,
copiapo,spatial,1,independent,42,8,0.0,
copiapo,spatial,1,independent,42,9,0.0,
copiapo,spatial,1,finetune,42,0,0.0,
copiapo,spatial,1,finetune,42,1,0.0,
copiapo,spatial,1,finetune,42,2,0.0,
copiapo,spatial,1,finetune,42,3,0.0,
copiapo,spatial,1,finetune,42,4,0.0,
copiapo,spatial,1,finetune,42,5,0.0,
copiapo,spatial,1,finetune,42,6,0.0,
copiapo,spatial,1,finetune,42,7,0.0,
copiapo,spatial,1,finetune,42,8,0.0,
copiapo,spatial,1,finetune,42,9,0.0,
copiapo,spatial,1,reptile,42,0,0.0,
copiapo,spatial,1,reptile,42,1,0.0,
copiapo,spatial,1,reptile,42,2,0.0,
copiapo,spatial,1,reptile,42,3,0.0,
copiapo,spatial,1,reptile,42,4,0.0,
copiapo,spatial,1,reptile,42,5,0.0,
copiapo,spatial,1,reptile,42,6,0.0,
copiapo,spatial,1,reptile,42,7,0.0,
copiapo,spatial,1,reptile,42,8,0.0,
copiapo,spatial,1,reptile,42,9,0.0,
copiapo,spatial,1,fomaml,42,0,0.0,
copiapo,spatial,1,fomaml,42,1,0.0,
copiapo,spatial,1,fomaml,42,2,0.0,
copiapo,spatial,1,fomaml,42,3,0.0,
copiapo,spatial,1,fomaml,42,4,0.0,
copiapo,spatial,1,fomaml,42,5,0.0,
copiapo,spatial,1,fomaml,42,6,0.0,
copiapo,spatial,1,fomaml,42,7,0.0,
copiapo,spatial,1,fomaml,42,8,0.0,
copiapo,spatial,1,fomaml,42,9,0.0,
copiapo,spatial,2,independent,42,0,0.0,
copiapo,spatial,2,independent,42,1,0.0,
copiapo,spatial,2,independent,42,2,0.0,
copiapo,spatial,2,independent,42,3,0.0,
copiapo,spatial,2,independent,42,4,0.0,
copiapo,spatial,2,independent,42,5,0.0,
copiapo,spatial,2,independent,42,6,0.0,
copiapo,spatial,2,independent,42,7,0.0,
copiapo,spatial,2,independent,42,8,0.0,
copiapo,spatial,2,independent,42,9,0.0,
copiapo,spatial,2,finetune,42,0,0.0,
copiapo,spatial,2,finetune,42,1,0.0,
copiapo,spatial,2,finetune,42,2,0.0,
copiapo,spatial,2,finetune,42,3,0.0,
copiapo,spatial,2,finetune,42,4,0.0,
copiapo,spatial,2,finetune,42,5,0.0,
copiapo,spatial,2,finetune,42,6,0.0,
copiapo,spatial,2,finetune,42,7,0.0,
copiapo,spatial,2,finetune,42,8,0.0,
copiapo,spatial,2,finetune,42,9,0.0,
copiapo,spatial,2,reptile,42,0,0.0,
copiapo,spatial,2,reptile,42,1,0.0,
copiapo,spatial,2,reptile,42,2,0.0,
copiapo,spatial,2,reptile,42,3,0.0,
copiapo,spatial,2,reptile,42,4,0.0,
copiapo,spatial,2,reptile,42,5,0.0,
copiapo,spatial,2,reptile,42,6,0.0,
copiapo,spatial,2,reptile,42,7,0.0,
copiapo,spatial,2,reptile,42,8,0.0,
copiapo,spatial,2,reptile,42,9,0.0,
copiapo,spatial,2,fomaml,42,0,0.0,
copiapo,spatial,2,fomaml,42,1,0.0,
copiapo,spatial,2,fomaml,42,2,0.0,
copiapo,spatial,2,fomaml,42,3,0.0,
copiapo,spatial,2,fomaml,42,4,0.0,
copiapo,spatial,2,fomaml,42,5,0.0,
copiapo,spatial,2,fomaml,42,6,0.0,
copiapo,spatial,2,fomaml,42,7,0.0,
copiapo,spatial,2,fomaml,42,8,0.0,
copiapo,spatial,2,fomaml,42,9,0.0,
copiapo,spatial,3,independent,42,0,0.6666666666666666,0.5
copiapo,spatial,3,independent,42,1,0.8235294117647058,0.37500000000000006
copiapo,spatial,3,independent,42,2,0.6666666666666666,0.5
copiapo,spatial,3,independent,42,3,0.8235294117647058,0.625
copiapo,spatial,3,independent,42,4,0.75,0.45833333333333337
copiapo,spatial,3,independent,42,5,0.75,0.45833333333333337
copiapo,spatial,3,independent,42,6,0.6666666666666666,0.6666666666666667
copiapo,spatial,3,independent,42,7,0.6666666666666666,0.5833333333333334
copiapo,spatial,3,independent,42,8,0.6666666666666666,0.625
copiapo,spatial,3,independent,42,9,0.8235294117647058,0.45833333333333337
copiapo,spatial,3,finetune,42,0,0.8888888888888888,0.33333333333333337
copiapo,spatial,3,finetune,42,1,0.8888888888888888,0.33333333333333337
copiapo,spatial,3,finetune,42,2,0.8235294117647058,0.33333333333333337
copiapo,spatial,3,finetune,42,3,0.8888888888888888,0.33333333333333337
copiapo,spatial,3,finetune,42,4,0.8888888888888888,0.37500000000000006
copiapo,spatial,3,finetune,42,5,0.8888888888888888,0.33333333333333337
copiapo,spatial,3,finetune,42,6,0.8235294117647058,0.45833333333333337
copiapo,spatial,3,finetune,42,7,0.8888888888888888,0.37500000000000006
copiapo,spatial,3,finetune,42,8,0.8888888888888888,0.33333333333333337
copiapo,spatial,3,finetune,42,9,0.8888888888888888,0.33333333333333337
copiapo,spatial,3,reptile,42,0,0.75,0.33333333333333337
copiapo,spatial,3,reptile,42,1,0.6666666666666666,0.33333333333333337
copiapo,spatial,3,reptile,42,2,0.6666666666666666,0.33333333333333337
copiapo,spatial,3,reptile,42,3,0.75,0.33333333333333337
copiapo,spatial,3,reptile,42,4,0.75,0.33333333333333337
copiapo,spatial,3,reptile,42,5,0.5714285714285714,0.33333333333333337
copiapo,spatial,3,reptile,42,6,0.6666666666666666,0.33333333333333337
copiapo,spatial,3,reptile,42,7,0.5714285714285714,0.33333333333333337
copiapo,spatial,3,reptile,42,8,0.75,0.33333333333333337
copiapo,spatial,3,reptile,42,9,0.75,0.33333333333333337
