target,method,cv_type,f1_mean,f1_std,auc_mean,auc_std,n
copiapo,finetune,random,0.8391673881673881,0.1355604729466748,0.9421666666666666,0.08938188812023028,150
copiapo,finetune,spatial,0.4388997821350763,0.41436984720915804,0.8048941798941799,0.25293629934087514,150
copiapo,fomaml,random,0.8780562770562771,0.10659272224243942,0.9673333333333333,0.06624249848487199,150
copiapo,fomaml,spatial,0.4308792405851229,0.3944687529068622,0.8269179894179894,0.24689985218449956,150
copiapo,independent,random,0.872982202982203,0.11561423039158913,0.9631666666666666,0.05882281056278755,150
copiapo,independent,spatial,0.42806209150326796,0.3929499770681901,0.7753968253968254,0.2471392927245845,150
copiapo,reptile,random,0.848045695045695,0.13149489827802155,0.9669166666666666,0.04731864689288253,150
copiapo,reptile,spatial,0.40934920634920635,0.3815752169195369,0.7845899470899471,0.2979464417083212,150
elqui,finetune,random,0.8245006074643707,0.052243241365322025,0.900796423713353,0.0433116296003843,150
elqui,finetune,spatial,0.48771919700832017,0.36482420142690597,0.8258081468475688,0.1155679345321843,150
elqui,fomaml,random,0.8333081786424417,0.05367953956258207,0.9066939740498505,0.04074391954689501,150
elqui,fomaml,spatial,0.5101987749093226,0.38073036669462396,0.8271562777104652,0.1353138107763151,150
elqui,independent,random,0.8287577980760163,0.05229082888550759,0.9002844889375479,0.04459412848947218,150
elqui,independent,spatial,0.4886524020568432,0.37470871314230186,0.8164232021079992,0.132910829580828,150
elqui,reptile,random,0.8342618864354896,0.05286505373733661,0.907277043067299,0.041296113713263034,150
elqui,reptile,spatial,0.5261690439181007,0.37117147046260884,0.8311978456532763,0.14039034716049045,150
huasco,finetune,random,0.8940146554237863,0.042739323592924934,0.9491946958937492,0.03034857793561305,150
huasco,finetune,spatial,0.348808320879898,0.4303948068394982,0.898548268238762,0.06798587666454645,150
huasco,fomaml,random,0.8970142770496227,0.03779162825300953,0.9493818140888816,0.029904528309560845,150
huasco,fomaml,spatial,0.354106509482914,0.4362534045452095,0.9015388245626432,0.058529572051666846,150
huasco,independent,random,0.8948646720012249,0.03743484162863345,0.9445506606737977,0.032157151861414435,150
huasco,independent,spatial,0.3421673447238474,0.42228665983689057,0.8893706431166432,0.06736090046176291,150
huasco,reptile,random,0.8979678693956998,0.03629534158825006,0.9463534372036616,0.030225506842829573,150
huasco,reptile,spatial,0.3527083670623995,0.43436377944420146,0.8961175423336238,0.058844919208091054,150
limari,finetune,random,0.7483983680578108,0.10670278911493188,0.8521245275888133,0.08933262417508556,150
limari,finetune,spatial,0.4425726002488553,0.30035047511222807,0.7043115666300189,0.1297920094517499,150
limari,fomaml,random,0.7580373167137873,0.0945205480450797,0.8353161375661377,0.10331028973265603,150
limari,fomaml,spatial,0.44215360391608,0.3015762732361402,0.6956030658054467,0.14279750815471529,150
limari,independent,random,0.7559630850745402,0.10406674226616673,0.8342680461073319,0.10003056708262012,150
limari,independent,spatial,0.453400900915684,0.3089903320229368,0.7011386254838636,0.13219326823097965,150
limari,reptile,random,0.733533501185204,0.11014943664237521,0.8176075207860922,0.12283124007430143,150
limari,reptile,spatial,0.4304532851798156,0.3138648895677467,0.696613596280263,0.12292943138774344,150
