target,k_folds,median_fold_centroid_dist_km,range_km,block_exceeds_range
copiapo,5,69.97404954112446,39.312704969652906,True
copiapo,10,48.66610273306319,39.312704969652906,True
copiapo,20,26.21352999395046,39.312704969652906,False
huasco,5,55.69552697802914,58.49157902631946,False
huasco,10,41.818565554070304,58.49157902631946,False
huasco,20,26.41462003112649,58.49157902631946,False
elqui,5,43.62033837710005,20.928900888308792,True
elqui,10,34.86922972237313,20.928900888308792,True
elqui,20,25.27101350009346,20.928900888308792,True
limari,5,54.16290837529954,15.551934959040665,True
limari,10,38.33566986051746,15.551934959040665,True
limari,20,24.100909950220892,15.551934959040665,True
