target,k_folds,seed,f1_independent,f1_fomaml
copiapo,5,42,0.6966434591666787,0.7168838663343305
copiapo,5,123,0.731947240352813,0.7601719260271891
copiapo,5,7,0.736326587069621,0.7668998370623756
copiapo,10,42,0.9367063492063492,0.941468253968254
copiapo,10,123,0.9186507936507937,0.9204365079365079
copiapo,10,7,0.9271825396825397,0.9452380952380952
copiapo,20,42,,
copiapo,20,123,,
copiapo,20,7,,
huasco,5,42,0.8265463671892762,0.8428544657993818
huasco,5,123,0.8144948094761348,0.8307890669402276
huasco,5,7,0.8105733154684238,0.8138368668238197
huasco,10,42,0.7257060346240938,0.7370940811004487
huasco,10,123,0.7615701947413007,0.7732789566411548
huasco,10,7,0.7515921854739064,0.7583998732541525
huasco,20,42,0.786739091096186,0.7962294914011349
huasco,20,123,0.8098502490996835,0.8279588652175667
huasco,20,7,0.8105283050341697,0.8250208780415796
elqui,5,42,0.5443001997423502,0.5655009604069761
elqui,5,123,0.5583347247441344,0.5566819903792279
elqui,5,7,0.43469567573999457,0.4562050073488394
elqui,10,42,0.6009858576035143,0.6066945029095548
elqui,10,123,0.6399195125595344,0.6387201556629502
elqui,10,7,0.5565299474861469,0.565137273980245
elqui,20,42,0.6295243488540005,0.630449231753359
elqui,20,123,0.5605826188735468,0.5553503719989507
elqui,20,7,0.6202790691215048,0.6384473702662122
limari,5,42,0.5773501641945176,0.5662345620426804
limari,5,123,0.5493422515022746,0.5653624411959413
limari,5,7,0.5479470939842115,0.565571642340636
limari,10,42,0.5844626116588426,0.5712029264165487
limari,10,123,0.5271457277616417,0.5396218272269053
limari,10,7,0.6202307765677735,0.6411711974554214
limari,20,42,0.6216533813408813,0.6260201950826951
limari,20,123,0.6224175388881271,0.6457891590979827
limari,20,7,0.6154476475905046,0.6507960491889062
